Algorithm,ARI,NMI,MSE,Runtime(s)
MS Clustering,0.8233356277538998,0.8015590127844147,0.1420424684055157,0.02114701271057129
DP-GRAMS-C,0.8382496282093639,0.8415393239580786,0.08811152739653155,0.01241302490234375
KMeans,0.8873649770251598,0.8641154805987816,0.0007293751934735196,0.03391075134277344
DP-KMeans,0.5189570398801565,0.6145515345752685,0.6094380090042356,0.008709192276000977
