n_samples,MS_mean,MS_se,DP_mean,DP_se,MS_time_mean,MS_time_se,DP_time_mean,DP_time_se
700,0.004504332091286892,1.9898642965185547e-19,0.46595517986987334,0.05455707048598549,0.0946837563000372,0.0007507995340850561,0.010269458449874947,0.0007828630390305689
1000,0.01000877516262899,0.0,0.3376105057415401,0.03590467748360138,0.1714019584494963,0.0002007030929503611,0.010557575000530051,2.8885743838711365e-05
2000,0.0033063181523037533,0.0,0.11896807141402785,0.013010892988148124,0.7026258041498294,0.002190943359797386,0.022532612450231682,0.00016283967330431496
5000,0.0029269902862085542,0.0,0.0648013998704451,0.006986511934187817,4.456782241599467,0.017355649032275218,0.057646589600153675,0.0007552996887138123
