z1,z2,u_score,avg_selection_prob
-11.05739965035022,-11.05739965035022,0.0,0.0005909962028503478
-11.05739965035022,-10.530856809857351,0.0,0.0005909962028503478
-11.05739965035022,-10.004313969364484,0.0,0.0005909962028503478
-11.05739965035022,-9.477771128871616,0.0,0.0005909962028503478
-11.05739965035022,-8.951228288378749,0.0,0.0005909962028503478
-11.05739965035022,-8.424685447885881,0.0,0.0005909962028503478
-11.05739965035022,-7.898142607393014,0.0,0.0005909962028503478
-11.05739965035022,-7.371599766900147,0.0,0.0005909962028503478
-11.05739965035022,-6.8450569264072785,0.0,0.0005909962028503478
-11.05739965035022,-6.318514085914411,0.0,0.0005909962028503478
-11.05739965035022,-5.791971245421544,0.0,0.0005909962028503478
-11.05739965035022,-5.2654284049286755,0.0,0.0005909962028503478
-11.05739965035022,-4.738885564435808,0.0,0.0005909962028503478
-11.05739965035022,-4.212342723942941,0.0,0.0005909962028503478
-11.05739965035022,-3.6857998834500734,0.0008333333333333334,0.0005916838074300127
-11.05739965035022,-3.1592570429572056,0.0008333333333333334,0.0005916838074300127
-11.05739965035022,-2.6327142024643377,0.0008333333333333334,0.0005916838074300127
-11.05739965035022,-2.1061713619714704,0.0008333333333333334,0.0005916838074300127
-11.05739965035022,-1.5796285214786028,0.0008333333333333334,0.0005916838074300127
-11.05739965035022,-1.0530856809857352,0.0,0.0005909962028503478
-11.05739965035022,-0.5265428404928676,0.0,0.0005909962028503478
-11.05739965035022,0.0,0.0,0.0005909962028503478
-11.05739965035022,0.5265428404928676,0.0,0.0005909962028503478
-11.05739965035022,1.0530856809857352,0.0,0.0005909962028503478
-11.05739965035022,1.5796285214786028,0.0,0.0005909962028503478
-11.05739965035022,2.1061713619714704,0.0,0.0005909962028503478
-11.05739965035022,2.6327142024643377,0.0,0.0005909962028503478
-11.05739965035022,3.1592570429572056,0.0,0.0005909962028503478
-11.05739965035022,3.6857998834500734,0.0,0.0005909962028503478
-11.05739965035022,4.212342723942941,0.0,0.0005909962028503478
-11.05739965035022,4.738885564435808,0.0,0.00036922508072793274
-11.05739965035022,5.2654284049286755,0.0,0.00036922508072793274
-11.05739965035022,5.791971245421544,0.0,0.00036922508072793274
-11.05739965035022,6.318514085914411,0.0,0.0005909962028503478
-11.05739965035022,6.8450569264072785,0.0,0.0005909962028503478
-11.05739965035022,7.371599766900147,0.0,0.0005909962028503478
-11.05739965035022,7.898142607393014,0.0,0.0005909962028503478
-11.05739965035022,8.424685447885881,0.0,0.0005909962028503478
-11.05739965035022,8.951228288378749,0.0,0.0005909962028503478
-11.05739965035022,9.477771128871616,0.0,0.0005909962028503478
-11.05739965035022,10.004313969364484,0.0,0.0005909962028503478
-11.05739965035022,10.530856809857351,0.0,0.0005909962028503478
-11.05739965035022,11.05739965035022,0.0,0.0005909962028503478
-10.530856809857351,-11.05739965035022,0.0,0.0005909962028503478
-10.530856809857351,-10.530856809857351,0.0,0.0005909962028503478
-10.530856809857351,-10.004313969364484,0.0,0.0005909962028503478
-10.530856809857351,-9.477771128871616,0.0,0.0005909962028503478
-10.530856809857351,-8.951228288378749,0.0,0.0005909962028503478
-10.530856809857351,-8.424685447885881,0.0,0.0005909962028503478
-10.530856809857351,-7.898142607393014,0.0,0.0005909962028503478
-10.530856809857351,-7.371599766900147,0.0,0.0005909962028503478
-10.530856809857351,-6.8450569264072785,0.0,0.0005909962028503478
-10.530856809857351,-6.318514085914411,0.0,0.0005909962028503478
-10.530856809857351,-5.791971245421544,0.0,0.0005909962028503478
-10.530856809857351,-5.2654284049286755,0.0,0.0005909962028503478
-10.530856809857351,-4.738885564435808,0.0,0.0005909962028503478
-10.530856809857351,-4.212342723942941,0.0,0.0005909962028503478
-10.530856809857351,-3.6857998834500734,0.0008333333333333334,0.0005916838074300127
-10.530856809857351,-3.1592570429572056,0.0008333333333333334,0.0005916838074300127
-10.530856809857351,-2.6327142024643377,0.0008333333333333334,0.0005916838074300127
-10.530856809857351,-2.1061713619714704,0.0016666666666666668,0.0005923722120149155
-10.530856809857351,-1.5796285214786028,0.0016666666666666668,0.0005923722120149155
-10.530856809857351,-1.0530856809857352,0.0008333333333333334,0.0005916838074300127
-10.530856809857351,-0.5265428404928676,0.0008333333333333334,0.0005916838074300127
-10.530856809857351,0.0,0.0016666666666666668,0.0005923722120149155
-10.530856809857351,0.5265428404928676,0.0008333333333333334,0.0005916838074300127
-10.530856809857351,1.0530856809857352,0.0,0.00023109028460796595
-10.530856809857351,1.5796285214786028,0.0,0.00023109028460796595
-10.530856809857351,2.1061713619714704,0.0,0.00023109028460796595
