n_samples,epsilon,run_idx,seed,pms_mse_truth,pms_runtime_s,timestamp
300,0.1,0,2300010,0.0005923455371834986,0.02849762514233589,2026-04-30 20:35:04
300,0.1,1,2300011,0.0005923455371834986,0.017990707885473967,2026-04-30 20:35:04
300,0.1,2,2300012,0.0005923455371834986,0.015026082750409842,2026-04-30 20:35:05
300,0.1,3,2300013,0.0005923455371834986,0.013482583221048117,2026-04-30 20:35:05
300,0.1,4,2300014,0.0005923455371834986,0.01258883299306035,2026-04-30 20:35:05
300,0.1,5,2300015,0.0005923455371834986,0.012184958904981613,2026-04-30 20:35:05
300,0.1,6,2300016,0.0005923455371834986,0.012186250183731318,2026-04-30 20:35:05
300,0.1,7,2300017,0.0005923455371834986,0.012246125377714634,2026-04-30 20:35:05
300,0.1,8,2300018,0.0005923455371834986,0.012140291277319193,2026-04-30 20:35:05
300,0.1,9,2300019,0.0005923455371834986,0.012196875177323818,2026-04-30 20:35:05
300,0.1,10,2300020,0.0005923455371834986,0.012282207608222961,2026-04-30 20:35:05
300,0.1,11,2300021,0.0005923455371834986,0.012349666096270084,2026-04-30 20:35:05
300,0.1,12,2300022,0.0005923455371834986,0.012119666673243046,2026-04-30 20:35:05
300,0.1,13,2300023,0.0005923455371834986,0.012157042045146227,2026-04-30 20:35:05
300,0.1,14,2300024,0.0005923455371834986,0.01217266684398055,2026-04-30 20:35:05
300,0.1,15,2300025,0.0005923455371834986,0.01218266598880291,2026-04-30 20:35:05
300,0.1,16,2300026,0.0005923455371834986,0.01220058323815465,2026-04-30 20:35:05
300,0.1,17,2300027,0.0005923455371834986,0.012189916800707579,2026-04-30 20:35:05
300,0.1,18,2300028,0.0005923455371834986,0.01218620827421546,2026-04-30 20:35:05
300,0.1,19,2300029,0.0005923455371834986,0.012263332959264517,2026-04-30 20:35:05
300,0.2,0,2300020,0.0005923455371834986,0.013685207813978195,2026-04-30 20:35:08
300,0.2,1,2300021,0.0005923455371834986,0.013056500349193811,2026-04-30 20:35:08
300,0.2,2,2300022,0.0005923455371834986,0.01294637518003583,2026-04-30 20:35:08
300,0.2,3,2300023,0.0005923455371834986,0.012880208902060986,2026-04-30 20:35:08
300,0.2,4,2300024,0.0005923455371834986,0.013149292208254337,2026-04-30 20:35:08
300,0.2,5,2300025,0.0005923455371834986,0.012973624747246504,2026-04-30 20:35:08
300,0.2,6,2300026,0.0005923455371834986,0.013056541793048382,2026-04-30 20:35:08
300,0.2,7,2300027,0.0005923455371834986,0.01334100030362606,2026-04-30 20:35:08
300,0.2,8,2300028,0.0005923455371834986,0.012949999887496233,2026-04-30 20:35:08
300,0.2,9,2300029,0.0005923455371834986,0.013143165968358517,2026-04-30 20:35:08
300,0.2,10,2300030,0.0005923455371834986,0.012845042161643505,2026-04-30 20:35:08
300,0.2,11,2300031,0.0005923455371834986,0.01303104218095541,2026-04-30 20:35:08
