Algorithm,ARI,NMI,MSE,Runtime(s)
MS Clustering,0.5650267986880972,0.6546146008942852,5791.714514704135,0.020313262939453125
DP-GRAMS-C,0.5380946086055977,0.6279969260760816,3169.492753851825,0.01033782958984375
KMeans,0.6024959468321066,0.6676460666464384,1942.621144336988,0.06028485298156738
DP-KMeans,0.42227571529026203,0.561663483253787,7915.198811330078,0.013902902603149414
