n_samples,epsilon,run_idx,data_seed,dp_seed,dp_mse,dp_runtime_s,timestamp
200,0.5,16,70005016,90005016,0.09452709828561434,0.018955667037516832,2026-04-30 20:33:25
200,0.5,18,70005018,90005018,0.10588043940516645,0.014581374824047089,2026-04-30 20:33:25
200,1.0,0,70010000,90010000,0.06009608230242357,0.03193650022149086,2026-04-30 20:33:27
200,1.0,1,70010001,90010001,0.036762007784213846,0.02883341582491994,2026-04-30 20:33:27
200,1.0,2,70010002,90010002,0.04265655834636545,0.02459162473678589,2026-04-30 20:33:28
200,1.0,3,70010003,90010003,0.07205234016682623,0.01857958408072591,2026-04-30 20:33:28
200,1.0,4,70010004,90010004,0.0439196931162306,0.013842958956956863,2026-04-30 20:33:28
200,1.0,5,70010005,90010005,0.06216704591916412,0.014493000227957964,2026-04-30 20:33:28
200,1.0,8,70010008,90010008,0.08931155878192744,0.014538458082824945,2026-04-30 20:33:28
200,1.0,7,70010007,90010007,0.04447862729398753,0.022788584232330322,2026-04-30 20:33:28
200,1.0,10,70010010,90010010,0.0598619961127792,0.020801250357180834,2026-04-30 20:33:28
200,1.0,6,70010006,90010006,0.058158924629669984,0.03377004200592637,2026-04-30 20:33:28
200,1.0,9,70010009,90010009,0.04930573070395224,0.016962916124612093,2026-04-30 20:33:28
200,1.0,11,70010011,90010011,0.06732917759129917,0.020442249719053507,2026-04-30 20:33:28
200,1.0,14,70010014,90010014,0.05336999160247138,0.015401666983962059,2026-04-30 20:33:28
200,1.0,12,70010012,90010012,0.0846208794608759,0.029204375110566616,2026-04-30 20:33:28
200,1.0,16,70010016,90010016,0.042060575715099725,0.020754291210323572,2026-04-30 20:33:28
200,1.0,13,70010013,90010013,0.06374585512707193,0.022901291958987713,2026-04-30 20:33:28
200,1.0,15,70010015,90010015,0.07369461772037951,0.016464874614030123,2026-04-30 20:33:28
200,1.0,18,70010018,90010018,0.056292145524352535,0.016446208115667105,2026-04-30 20:33:28
200,1.0,17,70010017,90010017,0.04604148245670688,0.022778125014156103,2026-04-30 20:33:28
200,1.0,19,70010019,90010019,0.0627894345854663,0.013560208026319742,2026-04-30 20:33:28
500,0.1,0,100001000,120001000,0.1668013785477481,0.03771058330312371,2026-04-30 20:33:30
500,0.1,1,100001001,120001001,0.14135694357087544,0.029134916607290506,2026-04-30 20:33:30
500,0.1,2,100001002,120001002,0.1279847733934805,0.038279457949101925,2026-04-30 20:33:30
500,0.1,4,100001004,120001004,0.20648885122360738,0.024322499986737967,2026-04-30 20:33:30
500,0.1,3,100001003,120001003,0.23227701968024927,0.03816995909437537,2026-04-30 20:33:30
500,0.1,5,100001005,120001005,0.17607813030650185,0.02237700019031763,2026-04-30 20:33:30
500,0.1,6,100001006,120001006,0.16227095408986753,0.027522540651261806,2026-04-30 20:33:30
500,0.1,9,100001009,120001009,0.16659527789761117,0.02678416622802615,2026-04-30 20:33:30
500,0.1,7,100001007,120001007,0.2194148327685122,0.04631558386608958,2026-04-30 20:33:30
500,0.1,8,100001008,120001008,0.16480185730346095,0.02943579200655222,2026-04-30 20:33:30
500,0.1,10,100001010,120001010,0.13782875221548482,0.03326724981889129,2026-04-30 20:33:30
500,0.1,12,100001012,120001012,0.13121142048465217,0.034541542176157236,2026-04-30 20:33:30
500,0.1,11,100001011,120001011,0.17865224258158718,0.03659287514165044,2026-04-30 20:33:30
500,0.1,16,100001016,120001016,0.18982085786170907,0.026270915754139423,2026-04-30 20:33:30
500,0.1,15,100001015,120001015,0.13797996475946755,0.035267166793346405,2026-04-30 20:33:30
500,0.1,13,100001013,120001013,0.18752998750498567,0.04585220804437995,2026-04-30 20:33:30
500,0.1,14,100001014,120001014,0.1593803315788615,0.03827183414250612,2026-04-30 20:33:30
500,0.1,17,100001017,120001017,0.14550492151769834,0.021042624954134226,2026-04-30 20:33:30
500,0.1,18,100001018,120001018,0.18610919950988364,0.022477666847407818,2026-04-30 20:33:30
500,0.1,19,100001019,120001019,0.19445604500541253,0.020169999916106462,2026-04-30 20:33:30
500,0.2,0,100002000,120002000,0.09523069731139504,0.04151412472128868,2026-04-30 20:33:32
500,0.2,1,100002001,120002001,0.10773444698613117,0.047016166150569916,2026-04-30 20:33:33
500,0.2,2,100002002,120002002,0.05161800274457627,0.03363954182714224,2026-04-30 20:33:33
500,0.2,4,100002004,120002004,0.04910358906740969,0.044386875350028276,2026-04-30 20:33:33
500,0.2,3,100002003,120002003,0.05004347438010311,0.05147987511008978,2026-04-30 20:33:33
500,0.2,5,100002005,120002005,0.07705588015092407,0.045204125344753265,2026-04-30 20:33:33
500,0.2,6,100002006,120002006,0.0637521480828823,0.04005533317103982,2026-04-30 20:33:33
500,0.2,7,100002007,120002007,0.11066451239137678,0.03615779196843505,2026-04-30 20:33:33
500,0.2,8,100002008,120002008,0.054255630348649185,0.03789350017905235,2026-04-30 20:33:33
500,0.2,10,100002010,120002010,0.051643379121604306,0.03428750019520521,2026-04-30 20:33:33
500,0.2,11,100002011,120002011,0.07157617157629872,0.023642208892852068,2026-04-30 20:33:33
500,0.2,9,100002009,120002009,0.10266110051062223,0.03627091692760587,2026-04-30 20:33:33
500,0.2,12,100002012,120002012,0.06718706609907145,0.03900512494146824,2026-04-30 20:33:33
500,0.2,14,100002014,120002014,0.07637436885231495,0.02483395766466856,2026-04-30 20:33:33
500,0.2,13,100002013,120002013,0.05465868537158338,0.030196665786206722,2026-04-30 20:33:33
500,0.2,15,100002015,120002015,0.0946446519350289,0.031342875212430954,2026-04-30 20:33:33
500,0.2,16,100002016,120002016,0.11186209806071759,0.03172237519174814,2026-04-30 20:33:33
500,0.2,17,100002017,120002017,0.04190009915461719,0.0278953337110579,2026-04-30 20:33:33
500,0.2,18,100002018,120002018,0.08654372575821218,0.026272624731063843,2026-04-30 20:33:33
500,0.2,19,100002019,120002019,0.06156914244967701,0.022564999759197235,2026-04-30 20:33:33
500,0.5,0,100005000,120005000,0.030105185859085414,0.03963937517255545,2026-04-30 20:33:36
500,0.5,1,100005001,120005001,0.038066700994076004,0.02858024975284934,2026-04-30 20:33:36
500,0.5,4,100005004,120005004,0.030093074701138485,0.03405295871198177,2026-04-30 20:33:36
500,0.5,2,100005002,120005002,0.032260040149214554,0.024232625029981136,2026-04-30 20:33:36
500,0.5,3,100005003,120005003,0.03957709848305352,0.036155625246465206,2026-04-30 20:33:36
500,0.5,5,100005005,120005005,0.03492183975622609,0.03431941708549857,2026-04-30 20:33:36
500,0.5,6,100005006,120005006,0.032564252602552135,0.0353585840202868,2026-04-30 20:33:36
500,0.5,7,100005007,120005007,0.03841148748123021,0.03814779222011566,2026-04-30 20:33:36
500,0.5,9,100005009,120005009,0.037480405570849175,0.021594292018562555,2026-04-30 20:33:36
500,0.5,8,100005008,120005008,0.04540636532286749,0.03741262527182698,2026-04-30 20:33:36
500,0.5,10,100005010,120005010,0.04587851946295976,0.03553904127329588,2026-04-30 20:33:36
500,0.5,11,100005011,120005011,0.03604608944254771,0.04831025004386902,2026-04-30 20:33:36
500,0.5,12,100005012,120005012,0.024705764245872237,0.04491608403623104,2026-04-30 20:33:36
500,0.5,14,100005014,120005014,0.02537232180629163,0.030951875261962414,2026-04-30 20:33:36
500,0.5,13,100005013,120005013,0.03776155557261763,0.05191204184666276,2026-04-30 20:33:36
500,0.5,15,100005015,120005015,0.02952419340740162,0.03886062512174249,2026-04-30 20:33:36
500,0.5,16,100005016,120005016,0.033083143628603325,0.030089374631643295,2026-04-30 20:33:36
500,0.5,17,100005017,120005017,0.031600440918043024,0.033969291020184755,2026-04-30 20:33:36
500,0.5,18,100005018,120005018,0.025818629167339954,0.02168725011870265,2026-04-30 20:33:36
500,0.5,19,100005019,120005019,0.028914277379982332,0.020567040890455246,2026-04-30 20:33:36
500,1.0,0,100010000,120010000,0.04650877945013033,0.04093737481161952,2026-04-30 20:33:38
500,1.0,1,100010001,120010001,0.028578121246972163,0.032407499849796295,2026-04-30 20:33:38
500,1.0,2,100010002,120010002,0.023928247055940235,0.03516883309930563,2026-04-30 20:33:38
500,1.0,3,100010003,120010003,0.028613583399995868,0.026872084010392427,2026-04-30 20:33:38
500,1.0,4,100010004,120010004,0.031232292770593688,0.026210999581962824,2026-04-30 20:33:38
500,1.0,5,100010005,120010005,0.024361855979653724,0.04407183267176151,2026-04-30 20:33:38
500,1.0,8,100010008,120010008,0.033528519271254685,0.029445375315845013,2026-04-30 20:33:38
500,1.0,6,100010006,120010006,0.029651131218249003,0.03608308406546712,2026-04-30 20:33:38
500,1.0,10,100010010,120010010,0.03342689348928009,0.04013054072856903,2026-04-30 20:33:38
500,1.0,7,100010007,120010007,0.030647965120954315,0.035240250173956156,2026-04-30 20:33:38
500,1.0,11,100010011,120010011,0.02292596938905332,0.030151874758303165,2026-04-30 20:33:38
500,1.0,12,100010012,120010012,0.04044618130787982,0.02927983272820711,2026-04-30 20:33:38
500,1.0,9,100010009,120010009,0.03224394207276989,0.050092832650989294,2026-04-30 20:33:38
500,1.0,13,100010013,120010013,0.0366721349103847,0.021334459073841572,2026-04-30 20:33:38
500,1.0,15,100010015,120010015,0.02625071995637328,0.02367712464183569,2026-04-30 20:33:38
500,1.0,14,100010014,120010014,0.035519216101351093,0.029920500237494707,2026-04-30 20:33:38
500,1.0,19,100010019,120010019,0.026003390533711413,0.02568212477490306,2026-04-30 20:33:38
500,1.0,16,100010016,120010016,0.02561396007617641,0.02855354081839323,2026-04-30 20:33:38
500,1.0,17,100010017,120010017,0.021314633771076872,0.030547874979674816,2026-04-30 20:33:38
500,1.0,18,100010018,120010018,0.028753574402559365,0.02375454129651189,2026-04-30 20:33:38
1000,0.1,0,150001000,170001000,0.054631538679787664,0.040157499723136425,2026-04-30 20:33:41
1000,0.1,1,150001001,170001001,0.1360449018031335,0.0378727912902832,2026-04-30 20:33:41
1000,0.1,2,150001002,170001002,0.07203298908213993,0.04199166689068079,2026-04-30 20:33:41
1000,0.1,3,150001003,170001003,0.062218182458394694,0.05020920792594552,2026-04-30 20:33:41
1000,0.1,5,150001005,170001005,0.05939031509345271,0.03753933310508728,2026-04-30 20:33:41
1000,0.1,7,150001007,170001007,0.047322218320901666,0.03871637536212802,2026-04-30 20:33:41
1000,0.1,4,150001004,170001004,0.09169763333542912,0.041122917085886,2026-04-30 20:33:41
1000,0.1,6,150001006,170001006,0.09752845137512929,0.04006987530738115,2026-04-30 20:33:41
1000,0.1,13,150001013,170001013,0.08256752541478803,0.038529000245034695,2026-04-30 20:33:41
1000,0.1,10,150001010,170001010,0.05618579425697233,0.03757979208603501,2026-04-30 20:33:41
1000,0.1,8,150001008,170001008,0.045626808004331186,0.04891124973073602,2026-04-30 20:33:41
1000,0.1,11,150001011,170001011,0.08243335442741162,0.0396525003015995,2026-04-30 20:33:41
1000,0.1,14,150001014,170001014,0.09492353794615101,0.029606583062559366,2026-04-30 20:33:41
1000,0.1,9,150001009,170001009,0.10759043686917401,0.048930791672319174,2026-04-30 20:33:41
1000,0.1,12,150001012,170001012,0.08970905263098664,0.052311250008642673,2026-04-30 20:33:41
1000,0.1,15,150001015,170001015,0.05925615670717893,0.037136792205274105,2026-04-30 20:33:41
1000,0.1,18,150001018,170001018,0.05588184372132438,0.030412958934903145,2026-04-30 20:33:41
1000,0.1,17,150001017,170001017,0.0592353279267716,0.028728374745696783,2026-04-30 20:33:41
1000,0.1,16,150001016,170001016,0.06227514868535663,0.029503833036869764,2026-04-30 20:33:41
1000,0.1,19,150001019,170001019,0.15635253652517148,0.02514929184690118,2026-04-30 20:33:41
1000,0.2,0,150002000,170002000,0.03280432250120239,0.04837904218584299,2026-04-30 20:33:44
1000,0.2,1,150002001,170002001,0.03885365336017671,0.03625245811417699,2026-04-30 20:33:44
1000,0.2,2,150002002,170002002,0.04293518193872523,0.03515274962410331,2026-04-30 20:33:44
1000,0.2,3,150002003,170002003,0.03403782004879296,0.04511891724541783,2026-04-30 20:33:44
1000,0.2,4,150002004,170002004,0.027216071087327303,0.03922912525013089,2026-04-30 20:33:44
1000,0.2,5,150002005,170002005,0.03953198085552869,0.03919254196807742,2026-04-30 20:33:44
1000,0.2,6,150002006,170002006,0.04463373613243865,0.046627792064100504,2026-04-30 20:33:44
1000,0.2,7,150002007,170002007,0.03170773680304917,0.039539082907140255,2026-04-30 20:33:44
1000,0.2,8,150002008,170002008,0.029080539208538536,0.05067837471142411,2026-04-30 20:33:44
1000,0.2,10,150002010,170002010,0.03238469628138105,0.03269983269274235,2026-04-30 20:33:44
1000,0.2,9,150002009,170002009,0.049678706836433065,0.039827041793614626,2026-04-30 20:33:44
1000,0.2,11,150002011,170002011,0.02984317409120713,0.04181704204529524,2026-04-30 20:33:44
1000,0.2,12,150002012,170002012,0.050383823730548276,0.03582195891067386,2026-04-30 20:33:44
1000,0.2,13,150002013,170002013,0.032256498827638994,0.03478808328509331,2026-04-30 20:33:44
1000,0.2,15,150002015,170002015,0.04418663815487425,0.032108166720718145,2026-04-30 20:33:44
1000,0.2,14,150002014,170002014,0.03818775529419222,0.026963416952639818,2026-04-30 20:33:44
1000,0.2,16,150002016,170002016,0.04740607197909442,0.026888917200267315,2026-04-30 20:33:44
1000,0.2,17,150002017,170002017,0.0396117704100796,0.02686629118397832,2026-04-30 20:33:44
1000,0.2,18,150002018,170002018,0.035306471015224064,0.027173416689038277,2026-04-30 20:33:44
1000,0.2,19,150002019,170002019,0.03435839947718281,0.026501374784857035,2026-04-30 20:33:44
1000,0.5,0,150005000,170005000,0.02288252661688352,0.044657583348453045,2026-04-30 20:33:47
1000,0.5,1,150005001,170005001,0.028108206171315327,0.04997270833700895,2026-04-30 20:33:47
1000,0.5,2,150005002,170005002,0.03371295141569381,0.04838312463834882,2026-04-30 20:33:47
1000,0.5,3,150005003,170005003,0.039399467243219674,0.04596274998039007,2026-04-30 20:33:47
1000,0.5,4,150005004,170005004,0.02454848094900784,0.05049870768561959,2026-04-30 20:33:47
1000,0.5,5,150005005,170005005,0.024968798294288497,0.05459179123863578,2026-04-30 20:33:47
1000,0.5,7,150005007,170005007,0.027714145746636297,0.03961291629821062,2026-04-30 20:33:47
1000,0.5,6,150005006,170005006,0.0261774909168742,0.04248449997976422,2026-04-30 20:33:47
1000,0.5,8,150005008,170005008,0.026900907349710783,0.02610500017181039,2026-04-30 20:33:47
1000,0.5,9,150005009,170005009,0.02194046844131789,0.03453041613101959,2026-04-30 20:33:47
1000,0.5,11,150005011,170005011,0.026352937154266176,0.03044750029221177,2026-04-30 20:33:47
1000,0.5,10,150005010,170005010,0.017112741848197475,0.0651580411940813,2026-04-30 20:33:47
1000,0.5,12,150005012,170005012,0.02392915412014814,0.03923674998804927,2026-04-30 20:33:47
