n_samples,epsilon,run_idx,data_seed,pms_mse,pms_runtime_s,timestamp
200,0.1,0,70001000,0.03022889043501065,0.010683625005185604,2026-04-30 20:33:20
200,0.1,1,70001001,0.02503476813934515,0.017613042145967484,2026-04-30 20:33:20
200,0.1,2,70001002,0.025873298697099978,0.00982733303681016,2026-04-30 20:33:20
200,0.1,6,70001006,0.026702154095190993,0.017936083022505045,2026-04-30 20:33:20
200,0.1,7,70001007,0.0318864498792379,0.013013542164117098,2026-04-30 20:33:20
200,0.1,5,70001005,0.02729702031217862,0.02193483291193843,2026-04-30 20:33:20
200,0.1,3,70001003,0.02807946810035416,0.016726958099752665,2026-04-30 20:33:20
200,0.1,4,70001004,0.041482004385276966,0.027057125233113766,2026-04-30 20:33:20
200,0.1,9,70001009,0.036906471268859174,0.025323416106402874,2026-04-30 20:33:20
200,0.1,10,70001010,0.02896960176451173,0.017743832897394896,2026-04-30 20:33:20
200,0.1,8,70001008,0.024512115671893323,0.029612000100314617,2026-04-30 20:33:20
200,0.1,13,70001013,0.029670976305185545,0.017141208052635193,2026-04-30 20:33:20
200,0.1,15,70001015,0.043652997285244244,0.008575624786317348,2026-04-30 20:33:20
200,0.1,11,70001011,0.020616610191022317,0.020806207787245512,2026-04-30 20:33:20
200,0.1,12,70001012,0.031103647957873983,0.014120250009000301,2026-04-30 20:33:20
200,0.1,14,70001014,0.025795310930574494,0.014272292144596577,2026-04-30 20:33:20
200,0.1,16,70001016,0.03831449144207908,0.014232291374355555,2026-04-30 20:33:20
200,0.1,18,70001018,0.037165470101152676,0.01456512464210391,2026-04-30 20:33:20
200,0.1,17,70001017,0.03574135369870428,0.01667308295145631,2026-04-30 20:33:20
200,0.1,19,70001019,0.036662858667268726,0.011290707625448704,2026-04-30 20:33:20
200,0.2,0,70002000,0.019442608942541857,0.024134125094860792,2026-04-30 20:33:22
200,0.2,1,70002001,0.023442285488457223,0.01942550018429756,2026-04-30 20:33:22
200,0.2,2,70002002,0.027735528229116707,0.02004729164764285,2026-04-30 20:33:22
200,0.2,3,70002003,0.03490156744646575,0.012132166884839535,2026-04-30 20:33:22
200,0.2,4,70002004,0.03241553248145006,0.024658500216901302,2026-04-30 20:33:22
200,0.2,5,70002005,0.04059251972740288,0.014757583383470774,2026-04-30 20:33:23
200,0.2,6,70002006,0.030500433486001816,0.028263207990676165,2026-04-30 20:33:23
200,0.2,7,70002007,0.02385567600216902,0.020507624838501215,2026-04-30 20:33:23
200,0.2,10,70002010,0.03674370209422091,0.008694667369127274,2026-04-30 20:33:23
200,0.2,9,70002009,0.033011845390433156,0.008826666977256536,2026-04-30 20:33:23
200,0.2,8,70002008,0.030298720390117988,0.028330999892205,2026-04-30 20:33:23
200,0.2,11,70002011,0.043779611410539536,0.023289000149816275,2026-04-30 20:33:23
200,0.2,12,70002012,0.03685848392280731,0.008587916847318411,2026-04-30 20:33:23
200,0.2,13,70002013,0.025406075630490115,0.01849487517029047,2026-04-30 20:33:23
200,0.2,14,70002014,0.023492119520429903,0.014329374767839909,2026-04-30 20:33:23
200,0.2,15,70002015,0.04788677930466338,0.013211582787334919,2026-04-30 20:33:23
200,0.2,16,70002016,0.026075419255535488,0.01261875033378601,2026-04-30 20:33:23
200,0.2,18,70002018,0.0243272571949246,0.011070082895457745,2026-04-30 20:33:23
200,0.2,17,70002017,0.02184516920107663,0.01200795779004693,2026-04-30 20:33:23
200,0.2,19,70002019,0.02667509959149229,0.008622916880995035,2026-04-30 20:33:23
200,0.5,0,70005000,0.023100410344853488,0.010742750018835068,2026-04-30 20:33:25
200,0.5,1,70005001,0.031865442234800645,0.01777870813384652,2026-04-30 20:33:25
200,0.5,3,70005003,0.030973843611861042,0.009236832614988089,2026-04-30 20:33:25
200,0.5,2,70005002,0.027084884219823496,0.01604995923116803,2026-04-30 20:33:25
200,0.5,4,70005004,0.04115384959049973,0.014188958797603846,2026-04-30 20:33:25
200,0.5,5,70005005,0.03145063988752079,0.008933957666158676,2026-04-30 20:33:25
200,0.5,6,70005006,0.036153207131724006,0.012410708237439394,2026-04-30 20:33:25
200,0.5,7,70005007,0.042048857429354186,0.010734875220805407,2026-04-30 20:33:25
200,0.5,9,70005009,0.03556998083854425,0.01439216686412692,2026-04-30 20:33:25
200,0.5,12,70005012,0.03651880190621455,0.009728874545544386,2026-04-30 20:33:25
200,0.5,10,70005010,0.02833748879269148,0.017525792121887207,2026-04-30 20:33:25
200,0.5,8,70005008,0.02591299225897075,0.020041333977133036,2026-04-30 20:33:25
200,0.5,11,70005011,0.03320612323973887,0.022682833019644022,2026-04-30 20:33:25
200,0.5,13,70005013,0.0396165061171269,0.018806833308190107,2026-04-30 20:33:25
200,0.5,17,70005017,0.02277219336918977,0.010894916020333767,2026-04-30 20:33:25
200,0.5,14,70005014,0.03299332567973035,0.018417874816805124,2026-04-30 20:33:25
200,0.5,15,70005015,0.0332088894087006,0.009998792316764593,2026-04-30 20:33:25
200,0.5,19,70005019,0.03739762701784573,0.008565499912947416,2026-04-30 20:33:25
200,0.5,16,70005016,0.025766956595699685,0.013087125029414892,2026-04-30 20:33:25
200,0.5,18,70005018,0.0359400260286302,0.026123082730919123,2026-04-30 20:33:25
200,1.0,0,70010000,0.03878423304448968,0.021352125331759453,2026-04-30 20:33:27
200,1.0,1,70010001,0.022596933782642187,0.015003792010247707,2026-04-30 20:33:27
200,1.0,2,70010002,0.03164674571725751,0.008498750161379576,2026-04-30 20:33:28
200,1.0,3,70010003,0.027561440785915534,0.012927583884447813,2026-04-30 20:33:28
200,1.0,4,70010004,0.02141904252584488,0.008587957825511694,2026-04-30 20:33:28
200,1.0,5,70010005,0.03203298709382913,0.00847666710615158,2026-04-30 20:33:28
200,1.0,8,70010008,0.04997064753443394,0.012861500028520823,2026-04-30 20:33:28
200,1.0,7,70010007,0.029440208198204202,0.011176874861121178,2026-04-30 20:33:28
200,1.0,10,70010010,0.038961000670859246,0.00975995883345604,2026-04-30 20:33:28
200,1.0,6,70010006,0.02716538642212096,0.014459374826401472,2026-04-30 20:33:28
200,1.0,9,70010009,0.04116678932876724,0.02340641664341092,2026-04-30 20:33:28
200,1.0,11,70010011,0.04728980021202565,0.02013333421200514,2026-04-30 20:33:28
200,1.0,14,70010014,0.027663552837996673,0.010940874926745892,2026-04-30 20:33:28
200,1.0,12,70010012,0.04946184888085474,0.00880574993789196,2026-04-30 20:33:28
200,1.0,16,70010016,0.026952253068463737,0.009691249579191208,2026-04-30 20:33:28
200,1.0,13,70010013,0.02949464191575099,0.017522749956697226,2026-04-30 20:33:28
200,1.0,15,70010015,0.033379732082596515,0.016969208139926195,2026-04-30 20:33:28
200,1.0,18,70010018,0.03184638902170898,0.010500708129256964,2026-04-30 20:33:28
200,1.0,17,70010017,0.03639924437897061,0.00887041725218296,2026-04-30 20:33:28
200,1.0,19,70010019,0.033829349601242016,0.011041666846722364,2026-04-30 20:33:28
500,0.1,0,100001000,0.021246701303770373,0.03658341709524393,2026-04-30 20:33:30
500,0.1,1,100001001,0.019772160898925358,0.061494833789765835,2026-04-30 20:33:30
500,0.1,2,100001002,0.021554411896600668,0.038537791930139065,2026-04-30 20:33:30
500,0.1,4,100001004,0.01789824048724259,0.03985191602259874,2026-04-30 20:33:30
500,0.1,3,100001003,0.02150832745861191,0.04676433280110359,2026-04-30 20:33:30
500,0.1,5,100001005,0.01919503514220919,0.03944595856592059,2026-04-30 20:33:30
500,0.1,6,100001006,0.022834107939381943,0.05091550014913082,2026-04-30 20:33:30
500,0.1,9,100001009,0.02168581912838438,0.042714249808341265,2026-04-30 20:33:30
500,0.1,7,100001007,0.024369256186851502,0.04161791689693928,2026-04-30 20:33:30
500,0.1,8,100001008,0.018125506309424305,0.04192254180088639,2026-04-30 20:33:30
500,0.1,10,100001010,0.023712021691707167,0.04791720770299435,2026-04-30 20:33:30
500,0.1,12,100001012,0.023738600104315048,0.0422075423412025,2026-04-30 20:33:30
500,0.1,11,100001011,0.019621977538711286,0.05938362516462803,2026-04-30 20:33:30
500,0.1,16,100001016,0.018921319952987414,0.04150579171255231,2026-04-30 20:33:30
500,0.1,15,100001015,0.022030904188713833,0.03638562513515353,2026-04-30 20:33:30
500,0.1,13,100001013,0.022899111677485512,0.044099041260778904,2026-04-30 20:33:30
500,0.1,14,100001014,0.02788324251619158,0.04500308306887746,2026-04-30 20:33:30
500,0.1,17,100001017,0.02350196584313678,0.035655499901622534,2026-04-30 20:33:30
500,0.1,18,100001018,0.019504263571260602,0.03596037533134222,2026-04-30 20:33:30
500,0.1,19,100001019,0.020838472224916322,0.030889916233718395,2026-04-30 20:33:30
500,0.2,0,100002000,0.02362047616281203,0.06248524971306324,2026-04-30 20:33:32
500,0.2,1,100002001,0.024356054365970187,0.05762470792979002,2026-04-30 20:33:33
500,0.2,2,100002002,0.022641634830241873,0.05282458337023854,2026-04-30 20:33:33
500,0.2,4,100002004,0.020041778211847706,0.042181083001196384,2026-04-30 20:33:33
500,0.2,3,100002003,0.02111645705463539,0.04678304214030504,2026-04-30 20:33:33
500,0.2,5,100002005,0.020698269260939206,0.055068125016987324,2026-04-30 20:33:33
500,0.2,6,100002006,0.019198378089222666,0.049376375041902065,2026-04-30 20:33:33
500,0.2,7,100002007,0.02157925650054563,0.04106179205700755,2026-04-30 20:33:33
500,0.2,8,100002008,0.021195477681849498,0.052875792142003775,2026-04-30 20:33:33
500,0.2,10,100002010,0.02308435435130599,0.05041608400642872,2026-04-30 20:33:33
500,0.2,11,100002011,0.019217308860766374,0.04539166670292616,2026-04-30 20:33:33
500,0.2,9,100002009,0.01939869471975656,0.06876604119315743,2026-04-30 20:33:33
500,0.2,12,100002012,0.02382956977738754,0.03648483334109187,2026-04-30 20:33:33
500,0.2,14,100002014,0.01985384148456425,0.03245904203504324,2026-04-30 20:33:33
500,0.2,13,100002013,0.021112437895534714,0.04633545782417059,2026-04-30 20:33:33
500,0.2,15,100002015,0.02045222806805252,0.049792292062193155,2026-04-30 20:33:33
