n_samples,MS_mean,MS_se,DP_mean,DP_se,MS_time_mean,MS_time_se,DP_time_mean,DP_time_se
700,0.008512244106196745,3.9797285930371094e-19,0.07695356248038626,0.018984224509142323,0.09510971884956235,8.974699390899477e-05,0.002943160449831339,1.9162257745898687e-05
1000,0.0049205348988787855,1.9898642965185547e-19,0.043171403018664775,0.0046870328570799424,0.17281881665039692,7.580385827095872e-05,0.00367468749955151,1.246023047145856e-05
2000,0.00421371411561761,1.9898642965185547e-19,0.02319340031829126,0.002946481160052934,0.7027502582497618,0.0014917587384620397,0.006534524999915447,6.563077196467932e-05
5000,0.0019435954396162711,4.974660741296387e-20,0.010615155177962429,0.0006876384213441541,4.662272329250118,0.028322500620128165,0.01793468735049828,0.00044261320517909253
